epoch,open,high,low,close
1783289040,63081.417,63086.04,62978.513,63032.372
1783289100,63024.671,63064.32,62985.366,63064.32
1783289160,63072.371,63085.759,63028.021,63047.954
1783289220,63047.932,63060.795,63023.758,63023.851
1783289280,63023.842,63023.842,62991.394,63007.906
1783289340,63007.902,63050.362,63007.902,63019.616
1783289400,63021.785,63069.985,63015.261,63069.653
1783289460,63069.64,63162.513,63064.344,63127.887
1783289520,63122.932,63149.335,63101.114,63145.418
1783289580,63143.464,63190.735,63139.946,63177.116
1783289640,63172.05,63200.245,63170.746,63200.239
1783289700,63200.235,63204.594,63167.702,63192.459
1783289760,63192.467,63326.929,63192.241,63310.962
1783289820,63305.085,63377.056,63259.163,63333.292
1783289880,63331.131,63366.238,63330.068,63359.042
1783289940,63359.063,63392.439,63340.06,63361.01
1783290000,63361.025,63613.535,63350.697,63540.47
1783290060,63531.413,63596.888,63483.484,63539.547
1783290120,63537.828,63568.172,63503.05,63533.013
1783290180,63533.119,63533.119,63503.05,63503.073
1783290240,63503.066,63561.485,63501.113,63533.553
1783290300,63533.615,63549.483,63480.72,63549.483
1783290360,63549.374,63561.232,63519.29,63519.4
1783290420,63518.213,63564.636,63518.213,63559.09
1783290480,63560.141,63720.013,63554.05,63712.994
1783290540,63709.224,63709.224,63650.05,63685.268
1783290600,63698.541,63933.934,63694.605,63802.744
1783290660,63804.266,63871.311,63804.266,63855.813
1783290720,63855.952,63855.952,63711.045,63719.921
1783290780,63719.871,63719.871,63616.464,63625.583
1783290840,63624.201,63649.088,63604.674,63626.065
1783290900,63621.075,63621.417,63534.342,63610.699
1783290960,63602.859,63678.186,63596.526,63643.333
1783291020,63643.3,63658.677,63608.357,63621.9
1783291080,63621.784,63621.784,63560.263,63578.693
1783291140,63578.696,63631.393,63578.696,63625.554
1783291200,63626.805,63626.805,63570.57,63620.011
1783291260,63620.237,63637.144,63579.951,63579.953
1783291320,63579.955,63580.136,63527.164,63537.412
1783291380,63538.689,63560.263,63529.018,63548.417
1783291440,63548.404,63561.078,63520.203,63545.158
1783291500,63544.49,63618.191,63544.49,63614.723
1783291560,63614.72,63620.461,63552.085,63593.152
1783291620,63593.403,63681.329,63587.292,63669.401
1783291680,63662.053,63662.053,63549.774,63559.856
1783291740,63560.47,63604.954,63557.884,63557.884
1783291800,63549.872,63588.936,63540.346,63580.114
1783291860,63579.749,63600.366,63559.794,63599.974
1783291920,63600.002,63605.121,63582.18,63598.117
1783291980,63598.112,63626.689,63593.606,63605.329
1783292040,63605.083,63619.067,63583.368,63619.008
1783292100,63619.001,63640.69,63595.061,63623.261
1783292160,63623.126,63634.289,63591.576,63593.621
1783292220,63592.58,63647.742,63562.081,63627.426
1783292280,63626.242,63704.903,63626.242,63694.027
